Field1,Text,Text1,Text2,Text3,Text4,Text5,Text6
"Vitor
@vitortheboy
·
Feb 29
Sim, vai ganhar um mapa da Loud.
339",Vitor,@vitortheboy,"Sim, vai ganhar um mapa da Loud.",VALORANT Esports BR,@valesports_br,"1:00 AM · Feb 29, 2024","Até onde a 
@EvilGeniuses
 pode chegar?

O adversário da 
@LOUDgg
 nos Playoffs do #VCTAmericas Kickoff no próximo sábado (2) aposta na receita que deu certo em 2023: um time menos badalado e confiança total no trabalho da @omgispotter!

A EG vai surpreender novamente?"
"Strafe Esports @ VCT Masters Madrid 
@strafeapp
·
Feb 28
FAÇA O L IMEDIATAMENTE
322",Strafe Esports @ VCT Masters Madrid ,@strafeapp,FAÇA O L IMEDIATAMENTE,VALORANT Esports BR,@valesports_br,"9:00 PM · Feb 28, 2024","Com licença, você teria um minutinho para FAZER O L?


@loud_less
 e 
@loud_saadhak
 passando na sua timeline pra lembrar que nesse sábado (dia 2) você  tem compromisso marcado no #VCTAmericas Kickoff.

LOUD vs EG chega para abrir com tudo os Playoffs, às 19h! Não perde, hein?"
"LOUD VALORANT
@vaLLLorant
·
Feb 28
Quem perder isso é MALUCO. Estarei presente!!! 
27
1K",LOUD VALORANT,@vaLLLorant,Quem perder isso é MALUCO. Estarei presente!!! ,VALORANT Esports BR,@valesports_br,"9:00 PM · Feb 28, 2024","Com licença, você teria um minutinho para FAZER O L?


@loud_less
 e 
@loud_saadhak
 passando na sua timeline pra lembrar que nesse sábado (dia 2) você  tem compromisso marcado no #VCTAmericas Kickoff.

LOUD vs EG chega para abrir com tudo os Playoffs, às 19h! Não perde, hein?"
"Schnider (:(
@Schnider__
·
Feb 29
L
30",Schnider (:(,@Schnider__,L,VALORANT Esports BR,@valesports_br,"9:00 PM · Feb 28, 2024","Com licença, você teria um minutinho para FAZER O L?


@loud_less
 e 
@loud_saadhak
 passando na sua timeline pra lembrar que nesse sábado (dia 2) você  tem compromisso marcado no #VCTAmericas Kickoff.

LOUD vs EG chega para abrir com tudo os Playoffs, às 19h! Não perde, hein?"
"DreamZbtw
@dr3amzbtw
·
Feb 28
Can't believe SEN has to go thru all these rounds
1
122
12K",DreamZbtw,@dr3amzbtw,Can't believe SEN has to go thru all these rounds,Scott Robertson,@counterscottGO,"4:23 AM · Feb 28, 2024","Huge difference in amount of official VALORANT played between 
@Sentinels
 and the other #VCTAmericas semifinalists.

SEN: 11 offseason matches and 265 rounds played in Kickoff.
NRG + EG + LOUD combined: ZERO offseason matches and 255 rounds during Kickoff."
"z
@zekkenVAL
·
Feb 28
2
9
1.6K
31K",z,@zekkenVAL,,Scott Robertson,@counterscottGO,"4:23 AM · Feb 28, 2024","Huge difference in amount of official VALORANT played between 
@Sentinels
 and the other #VCTAmericas semifinalists.

SEN: 11 offseason matches and 265 rounds played in Kickoff.
NRG + EG + LOUD combined: ZERO offseason matches and 255 rounds during Kickoff."
"G2 VALORANT
@G2VALORANT
·
Feb 28
2
188
4.9K",G2 VALORANT,@G2VALORANT,,Cloud9 VALORANT,@C9VAL,"4:00 AM · Feb 28, 2024","Welcome to the NA #VCTAmericas squad 
@G2VALORANT"
"LLL Carla
@_Carla00
·
Feb 28
2
449",LLL Carla,@_Carla00,,VALORANT Esports BR,@valesports_br,"3:00 AM · Feb 28, 2024",As melhores fotos do representante brasileiro nos Playoffs do #VCTAmericas Kickoff 
"Riquexp
@riquelxp
·
Feb 28
249",Riquexp,@riquelxp,,VALORANT Esports BR,@valesports_br,"3:00 AM · Feb 28, 2024",As melhores fotos do representante brasileiro nos Playoffs do #VCTAmericas Kickoff 
"LLLsarah𐂂
@loud_sarahS2
·
Feb 28
1
240",LLLsarah𐂂,@loud_sarahS2,,VALORANT Esports BR,@valesports_br,"3:00 AM · Feb 28, 2024",As melhores fotos do representante brasileiro nos Playoffs do #VCTAmericas Kickoff 
"OXG Luixmi12
@luixmi12
·
Feb 28
había gente que creía que por meterse a los playoffs ya entraban a la master de Madrid :v
82",OXG Luixmi12,@luixmi12,había gente que creía que por meterse a los playoffs ya entraban a la master de Madrid :v,perdomixx,@perdomix,"11:12 PM · Feb 27, 2024","Estos son los cruces de los Play Offs de la #VCTAmericas , ¿quién crees que llegará a la #MastersMadrid ? 

Ese NRG vs SEN se ve una delicia "
"Marianaa not wh
@4Hyunii
·
Feb 28
la vida era mas fácil cuando nrg (optic) y loud eran los mejores equipos del mundo
48",Marianaa not wh,@4Hyunii,la vida era mas fácil cuando nrg (optic) y loud eran los mejores equipos del mundo,perdomixx,@perdomix,"11:12 PM · Feb 27, 2024","Estos son los cruces de los Play Offs de la #VCTAmericas , ¿quién crees que llegará a la #MastersMadrid ? 

Ese NRG vs SEN se ve una delicia "
"DreamZbtw
@dr3amzbtw
·
Feb 27
so rigged tbh.
3
104
13K",DreamZbtw,@dr3amzbtw,so rigged tbh.,Valorant News,@ValorINTEL,"11:57 AM · Feb 27, 2024","#VCTAmericas Playoffs Bracket 

Evil Geniuses vs LOUD 
NRG vs Sentinels 

 Winner of each match qualifies for Masters Madrid 
 Overall Playoffs winner will get the higher seed"
"shair
@sssshair
·
Feb 27
Wow NRG vs Sen 
27
9.8K",shair,@sssshair,Wow NRG vs Sen ,Valorant News,@ValorINTEL,"11:57 AM · Feb 27, 2024","#VCTAmericas Playoffs Bracket 

Evil Geniuses vs LOUD 
NRG vs Sentinels 

 Winner of each match qualifies for Masters Madrid 
 Overall Playoffs winner will get the higher seed"
"day
@drvmf
·
Feb 27
#LOUDWIN
#SENWIN
1
30
11K",day,@drvmf,#LOUDWIN,Valorant News,@ValorINTEL,"11:57 AM · Feb 27, 2024","#VCTAmericas Playoffs Bracket 

Evil Geniuses vs LOUD 
NRG vs Sentinels 

 Winner of each match qualifies for Masters Madrid 
 Overall Playoffs winner will get the higher seed"
"Dylan
@Flexd_
·
Feb 27
When is this? And let’s get leviathan out there instead of EG
1
1
2.4K",Dylan,@Flexd_,When is this? And let’s get leviathan out there instead of EG,Valorant News,@ValorINTEL,"11:57 AM · Feb 27, 2024","#VCTAmericas Playoffs Bracket 

Evil Geniuses vs LOUD 
NRG vs Sentinels 

 Winner of each match qualifies for Masters Madrid 
 Overall Playoffs winner will get the higher seed"
"Kyedae
@kyedae
·
Feb 27
Why don’t we see a live draw tho?
43
31
1.5K
85K",Kyedae,@kyedae,Why don’t we see a live draw tho?,VALORANT Esports NA,@valesports_na,"11:55 AM · Feb 27, 2024",The bracket for #VCTAmericas Playoffs has been revealed!
"JJ
@SocioTechGlobal
·
Feb 27
nah bro do that shit live next time cmon
4
2
222
35K",JJ,@SocioTechGlobal,nah bro do that shit live next time cmon,VALORANT Esports NA,@valesports_na,"11:55 AM · Feb 27, 2024",The bracket for #VCTAmericas Playoffs has been revealed!
"JJ
@SocioTechGlobal
·
Feb 27
Bro EG having to win two BO3 to qualify for Madrid is wild
8
105
36K",JJ,@SocioTechGlobal,Bro EG having to win two BO3 to qualify for Madrid is wild,VALORANT Esports NA,@valesports_na,"11:55 AM · Feb 27, 2024",The bracket for #VCTAmericas Playoffs has been revealed!
"Loud Mil Grau
@LoudMilGrauu
·
Feb 27
CHOOOOOOREMMMMMMMMMMMMMMM
5
1.3K",Loud Mil Grau,@LoudMilGrauu,CHOOOOOOREMMMMMMMMMMMMMMM,VALORANT Esports NA,@valesports_na,"11:55 AM · Feb 27, 2024",The bracket for #VCTAmericas Playoffs has been revealed!
"kirst
@KIAkirst
·
Feb 27
the script is scripting
4
94
31K",kirst,@KIAkirst,the script is scripting,VALORANT Esports NA,@valesports_na,"11:55 AM · Feb 27, 2024",The bracket for #VCTAmericas Playoffs has been revealed!
"Nicholas
@Yehty_
·
Feb 27
1
44",Nicholas,@Yehty_,,Nicholas,@Yehty_,"11:49 AM · Feb 27, 2024",I hope yall enjoyed my Turtle  #VCTAmericas
"Vini
@Vinicios_Gusta9
·
Feb 27
Já já postam que vai ser loud x nrg 
Vocês vão dar um jeitinho pra ser isso
1
560",Vini,@Vinicios_Gusta9,"Já já postam que vai ser loud x nrg 
Vocês vão dar um jeitinho pra ser isso",VALORANT Esports BR,@valesports_br,"11:48 AM · Feb 27, 2024","Fim da série! A 
@G2VALORANT
 vence a 
@Sentinels
 por 2 a 1, de virada, mas está eliminada do #VCTAmericas Kickoff por conta dos critérios de desempate. 

A SEN garante a classificação pela vantagem no saldo de mapas do Play-In e se junta a 
@NRGgg
, 
@LOUDgg
 e 
@EvilGeniuses
 no TOP 4."
"vitória
@hallownewss
·
Feb 27
Tudo uma porra nesse campeonato né
1
835",vitória,@hallownewss,Tudo uma porra nesse campeonato né,VALORANT Esports BR,@valesports_br,"11:48 AM · Feb 27, 2024","Fim da série! A 
@G2VALORANT
 vence a 
@Sentinels
 por 2 a 1, de virada, mas está eliminada do #VCTAmericas Kickoff por conta dos critérios de desempate. 

A SEN garante a classificação pela vantagem no saldo de mapas do Play-In e se junta a 
@NRGgg
, 
@LOUDgg
 e 
@EvilGeniuses
 no TOP 4."
"lay | TOWL 25/02
@layanabauer
·
Feb 27
achei ridículo esse formato
1
15
1K",lay | TOWL 25/02,@layanabauer,achei ridículo esse formato,VALORANT Esports BR,@valesports_br,"11:48 AM · Feb 27, 2024","Fim da série! A 
@G2VALORANT
 vence a 
@Sentinels
 por 2 a 1, de virada, mas está eliminada do #VCTAmericas Kickoff por conta dos critérios de desempate. 

A SEN garante a classificação pela vantagem no saldo de mapas do Play-In e se junta a 
@NRGgg
, 
@LOUDgg
 e 
@EvilGeniuses
 no TOP 4."
"Guilherme
@GuilhermeWes123
·
Feb 27
Que formato merda veio kkkkk
148",Guilherme,@GuilhermeWes123,Que formato merda veio kkkkk,VALORANT Esports BR,@valesports_br,"11:48 AM · Feb 27, 2024","Fim da série! A 
@G2VALORANT
 vence a 
@Sentinels
 por 2 a 1, de virada, mas está eliminada do #VCTAmericas Kickoff por conta dos critérios de desempate. 

A SEN garante a classificação pela vantagem no saldo de mapas do Play-In e se junta a 
@NRGgg
, 
@LOUDgg
 e 
@EvilGeniuses
 no TOP 4."
"Klaus ᐅ
@Klausvlr
·
Feb 27
O time que vence tá eliminado, O outro time mais ganhou do que perdeu e foi eliminado.

Pelo amor Deus, que seja a última vez esse formato ai
18
960",Klaus ᐅ,@Klausvlr,"O time que vence tá eliminado, O outro time mais ganhou do que perdeu e foi eliminado.

Pelo amor Deus, que seja a última vez esse formato ai",VALORANT Esports BR,@valesports_br,"11:48 AM · Feb 27, 2024","Fim da série! A 
@G2VALORANT
 vence a 
@Sentinels
 por 2 a 1, de virada, mas está eliminada do #VCTAmericas Kickoff por conta dos critérios de desempate. 

A SEN garante a classificação pela vantagem no saldo de mapas do Play-In e se junta a 
@NRGgg
, 
@LOUDgg
 e 
@EvilGeniuses
 no TOP 4."
"Matheus Lima
@MatheuSantosLim
·
Feb 27
Formato Paia, nossa Mibr foi mandada embora com saldo positivo
3
426",Matheus Lima,@MatheuSantosLim,"Formato Paia, nossa Mibr foi mandada embora com saldo positivo",VALORANT Esports BR,@valesports_br,"11:48 AM · Feb 27, 2024","Fim da série! A 
@G2VALORANT
 vence a 
@Sentinels
 por 2 a 1, de virada, mas está eliminada do #VCTAmericas Kickoff por conta dos critérios de desempate. 

A SEN garante a classificação pela vantagem no saldo de mapas do Play-In e se junta a 
@NRGgg
, 
@LOUDgg
 e 
@EvilGeniuses
 no TOP 4."
"˖ ࣪𝇋♡︎𝇌 SL mimi
@toxicmimivlr
·
Feb 27
Automated
TIIIIIMEEEEEEEEEE
635",˖ ࣪𝇋♡︎𝇌 SL mimi,@toxicmimivlr,TIIIIIMEEEEEEEEEE,VALORANT Esports NA,@valesports_na,"11:20 AM · Feb 27, 2024","""TIMEEEEEEEEEEEEEE"" - 
@endercasts
. #VCTAmericas"
"Ashish Tembhekar
@AshishTembhekar
·
Feb 27
They really thought they could pull a Sentinels Acent Marathon
5
1.2K",Ashish Tembhekar,@AshishTembhekar,They really thought they could pull a Sentinels Acent Marathon,VALORANT Esports NA,@valesports_na,"11:20 AM · Feb 27, 2024","""TIMEEEEEEEEEEEEEE"" - 
@endercasts
. #VCTAmericas"
"FleXy
@flexy2204
·
Feb 27
G2 are still trying....
6
1.4K",FleXy,@flexy2204,G2 are still trying....,VALORANT Esports NA,@valesports_na,"11:20 AM · Feb 27, 2024","""TIMEEEEEEEEEEEEEE"" - 
@endercasts
. #VCTAmericas"
"Darnell’s Bizarre Adventure
@dbzfreak2
·
Feb 27
Ender is the best HAHAHA
4
1.2K",Darnell’s Bizarre Adventure,@dbzfreak2,Ender is the best HAHAHA,VALORANT Esports NA,@valesports_na,"11:20 AM · Feb 27, 2024","""TIMEEEEEEEEEEEEEE"" - 
@endercasts
. #VCTAmericas"
"@dr222002202
@lg72984020
·
Feb 27
@SideshowGaming
3
1.1K",@dr222002202,@lg72984020,,VALORANT Esports NA,@valesports_na,"11:20 AM · Feb 27, 2024","""TIMEEEEEEEEEEEEEE"" - 
@endercasts
. #VCTAmericas"
"kirst
@KIAkirst
·
Feb 27
zellsis is a man of the people
64
4.8K",kirst,@KIAkirst,zellsis is a man of the people,VALORANT Esports NA,@valesports_na,"11:02 AM · Feb 27, 2024","He had to flex it 


@Zellsis
 | #VCTAmericas"
"EzDubs
@ezdubs_bot
·
Feb 27
Automated
@luscavlr_
 Done! Here is your Portuguese dub: https://ezdubs-vod-api.com/result/1762327368226791711_en_pt…
        
     𝙔𝙤𝙪𝙏𝙪𝙗𝙚: http://bit.ly/3WUC0iq 

     𝙒𝙝𝙖𝙩𝙨𝘼𝙥𝙥: https://bit.ly/3NbkOne

     𝙏𝙚𝙡𝙚𝙜𝙧𝙖𝙢: https://t.me/ezdubs_bot
1
968",EzDubs,@ezdubs_bot, Done! Here is your Portuguese dub: ,VALORANT Esports NA,@valesports_na,"11:02 AM · Feb 27, 2024","He had to flex it 


@Zellsis
 | #VCTAmericas"
"NRG Chet
@chetsingh
·
Feb 27
Yo the format is some donkey
7
5
1K
37K",NRG Chet,@chetsingh,Yo the format is some donkey,VALORANT Esports NA,@valesports_na,"10:52 AM · Feb 27, 2024",".
@G2VALORANT
 have the opportunity to do the funniest thing ever 

The series is now tied 1-1 with Split as the decider! #VCTAmericas"
"krissy
@itskwissy
·
Feb 27
this format
2
39
8.2K",krissy,@itskwissy,this format,VALORANT Esports NA,@valesports_na,"10:52 AM · Feb 27, 2024",".
@G2VALORANT
 have the opportunity to do the funniest thing ever 

The series is now tied 1-1 with Split as the decider! #VCTAmericas"
"betit.gg
@betitdotgg
·
Feb 27
I wish this were true 
5
5K",betit.gg,@betitdotgg,I wish this were true ,VALORANT Esports NA,@valesports_na,"10:52 AM · Feb 27, 2024",".
@G2VALORANT
 have the opportunity to do the funniest thing ever 

The series is now tied 1-1 with Split as the decider! #VCTAmericas"
"Valor Central
@ValorCentral
·
Feb 27
Do what….?
2
89
18K",Valor Central,@ValorCentral,Do what….?,VALORANT Esports NA,@valesports_na,"10:52 AM · Feb 27, 2024",".
@G2VALORANT
 have the opportunity to do the funniest thing ever 

The series is now tied 1-1 with Split as the decider! #VCTAmericas"
"NickyDubz
@NickyDubz7
·
Feb 27
i guess this is just down the drain?
1
10
1.7K",NickyDubz,@NickyDubz7,i guess this is just down the drain?,VALORANT Esports NA,@valesports_na,"10:13 AM · Feb 27, 2024","Make sure to stick around till the end of the series to see the playoff draw for #VCTAmericas Kickoff!

Who do you think will be matched together? "
"kirst
@KIAkirst
·
Feb 27
let’s wrap this up 
@Sentinels
528",kirst,@KIAkirst,let’s wrap this up ,VALORANT Esports NA,@valesports_na,"10:13 AM · Feb 27, 2024","Make sure to stick around till the end of the series to see the playoff draw for #VCTAmericas Kickoff!

Who do you think will be matched together? "
"DeadEye G
@abdelbasset113
·
Feb 27
I feel EG vs Loud and Sen vs NRG
1
395",DeadEye G,@abdelbasset113,I feel EG vs Loud and Sen vs NRG,VALORANT Esports NA,@valesports_na,"10:13 AM · Feb 27, 2024","Make sure to stick around till the end of the series to see the playoff draw for #VCTAmericas Kickoff!

Who do you think will be matched together? "
"Henrique silva
@Ch5004Silva
·
Feb 27
everyone knows it's going to be loud x nrg and sentinels x eg
1
1
343",Henrique silva,@Ch5004Silva,everyone knows it's going to be loud x nrg and sentinels x eg,VALORANT Esports NA,@valesports_na,"10:13 AM · Feb 27, 2024","Make sure to stick around till the end of the series to see the playoff draw for #VCTAmericas Kickoff!

Who do you think will be matched together? "
"杜希德
@its_me_abdel
·
Feb 27
NRG vs SEN 
LOUD vs EG
1
2
2.4K",杜希德,@its_me_abdel,"NRG vs SEN 
LOUD vs EG",VALORANT Esports NA,@valesports_na,"10:13 AM · Feb 27, 2024","Make sure to stick around till the end of the series to see the playoff draw for #VCTAmericas Kickoff!

Who do you think will be matched together? "
"Valorant News
@ValorINTEL
·
Feb 27
Correct
53
16K",Valorant News,@ValorINTEL,Correct,Valorant News,@ValorINTEL,"9:54 AM · Feb 27, 2024","#VCTAmericas Playoffs 

- LOUD 
- NRG 
- Evil Geniuses 
- Sentinels 

- Single Elimination
- LOUD and Sentinels will not play each other in the first round of Playoffs due to being in the same group 
- Top 2 will qualify for VCT Masters Madrid"
"styles
@ragingstyles
·
Feb 27
ON GOD
1
91",styles,@ragingstyles,ON GOD,styles,@ragingstyles,"9:49 AM · Feb 27, 2024",LESSSSGOOOOO !!! WE IN THERE !!! #VCTAmericas
"vinizin ˢᵖᶠᶜ 
@vinichgss
·
Feb 27
Incrível que essa EG conseguiu ir pro playoffs com apenas um jogo, time medíocre tirando a vaga de time melhores
1
494",vinizin ˢᵖᶠᶜ ,@vinichgss,"Incrível que essa EG conseguiu ir pro playoffs com apenas um jogo, time medíocre tirando a vaga de time melhores",VALORANT Esports BR,@valesports_br,"9:48 AM · Feb 27, 2024","A 
@Sentinels
 está nos Playoffs do #VCTAmericas Kickoff!

Com o mapa vencido contra a 
@G2VALORANT
 e a vitória contra o 
@MIBR
 mais cedo, a equipe do brasileiro 
@sen_sacy
 ganha o Play-In e se junta a 
@NRGgg
, 
@LOUDgg
 e 
@EvilGeniuses
 no TOP 4 da competição!

 http://valorantesports.com"
"Jaycin 
@Jaycinlol
·
Feb 27
Parabéns Leo Faria 
124",Jaycin ,@Jaycinlol,Parabéns Leo Faria ,VALORANT Esports BR,@valesports_br,"9:48 AM · Feb 27, 2024","A 
@Sentinels
 está nos Playoffs do #VCTAmericas Kickoff!

Com o mapa vencido contra a 
@G2VALORANT
 e a vitória contra o 
@MIBR
 mais cedo, a equipe do brasileiro 
@sen_sacy
 ganha o Play-In e se junta a 
@NRGgg
, 
@LOUDgg
 e 
@EvilGeniuses
 no TOP 4 da competição!

 http://valorantesports.com"
"Riquexp
@riquelxp
·
Feb 27
Dito isso LOUD vs NRG pq a Riot é uma safada sem vergonha, más fazer oq né  quem quer ser campeão não escolhe o adversário, pra cima Brasil 
1
16
1K",Riquexp,@riquelxp,"Dito isso LOUD vs NRG pq a Riot é uma safada sem vergonha, más fazer oq né ",VALORANT Esports BR,@valesports_br,"9:48 AM · Feb 27, 2024","A 
@Sentinels
 está nos Playoffs do #VCTAmericas Kickoff!

Com o mapa vencido contra a 
@G2VALORANT
 e a vitória contra o 
@MIBR
 mais cedo, a equipe do brasileiro 
@sen_sacy
 ganha o Play-In e se junta a 
@NRGgg
, 
@LOUDgg
 e 
@EvilGeniuses
 no TOP 4 da competição!

 http://valorantesports.com"
"YuuutaXD
@YuutaWD
·
Feb 27
A gente vai buscar uma vaga pra esse masters
564",YuuutaXD,@YuutaWD,A gente vai buscar uma vaga pra esse masters,VALORANT Esports BR,@valesports_br,"9:48 AM · Feb 27, 2024","A 
@Sentinels
 está nos Playoffs do #VCTAmericas Kickoff!

Com o mapa vencido contra a 
@G2VALORANT
 e a vitória contra o 
@MIBR
 mais cedo, a equipe do brasileiro 
@sen_sacy
 ganha o Play-In e se junta a 
@NRGgg
, 
@LOUDgg
 e 
@EvilGeniuses
 no TOP 4 da competição!

 http://valorantesports.com"
"Unmei no Hi
@prismando
·
Feb 27
OBA! Estou super empolgado pra ver 3 times do NA e um time BR, essa é a minha liga. Nossa, como eu amo o VCT américas em riot, muito legal o formato do time 1/1 sair, porque ele jogou dois jogos seguidos e os outros não. Uhu! Oba viva o 
@lhfaria
GIF
8
577",Unmei no Hi,@prismando,"OBA! Estou super empolgado pra ver 3 times do NA e um time BR, essa é a minha liga. Nossa, como eu amo o VCT américas em riot, muito legal o formato do time 1/1 sair, porque ele jogou dois jogos seguidos e os outros não. Uhu! Oba viva o ",VALORANT Esports BR,@valesports_br,"9:48 AM · Feb 27, 2024","A 
@Sentinels
 está nos Playoffs do #VCTAmericas Kickoff!

Com o mapa vencido contra a 
@G2VALORANT
 e a vitória contra o 
@MIBR
 mais cedo, a equipe do brasileiro 
@sen_sacy
 ganha o Play-In e se junta a 
@NRGgg
, 
@LOUDgg
 e 
@EvilGeniuses
 no TOP 4 da competição!

 http://valorantesports.com"
"day
@drvmf
·
Feb 27
BAAAAAAAAAAANG
16
9.3K",day,@drvmf,BAAAAAAAAAAANG,VALORANT Esports NA,@valesports_na,"9:48 AM · Feb 27, 2024","WELCOME TO SEN CITY


@Sentinels
 take Sunset and have officially qualified for the #VCTAmericas Kickoff Playoffs!"
"john
@NOTd3athtojohn
·
Feb 27
LETS FUCKING GOOOOOOOOOOOOOOOOOOOOOOOOO
1.7K",john,@NOTd3athtojohn,LETS FUCKING GOOOOOOOOOOOOOOOOOOOOOOOOO,VALORANT Esports NA,@valesports_na,"9:48 AM · Feb 27, 2024","WELCOME TO SEN CITY


@Sentinels
 take Sunset and have officially qualified for the #VCTAmericas Kickoff Playoffs!"
